label,act,r_t,x,seed,change,secant,peak
ReLU rt4 e2.0,relu,4,0.08,5,-0.02839250886713318,-7.098127216783296e-06,0.0015481990560551257
ReLU rt4 e2.0,relu,4,0.08,11,-0.040740324582540066,-1.0185081145635016e-05,0.0015821163271200077
ReLU rt4 e2.0,relu,4,0.08,23,-0.023905119775124772,-5.976279943781193e-06,0.0014043254493162412
ReLU rt4 e2.0,relu,4,0.08,37,-0.03978982946980514,-9.947457367451285e-06,0.0016146967973460922
ReLU rt4 e2.0,relu,4,0.08,41,-0.025085430647546536,-6.271357661886634e-06,0.0015212335747990932
ReLU rt4 e2.0,relu,4,0.08,53,-0.01051164506375002,-2.627911265937505e-06,0.0014163198029010877
ReLU rt4 e2.0,relu,4,0.08,67,-0.007223098039817577,-1.8057745099543943e-06,0.0014552644620259064
ReLU rt4 e2.0,relu,4,0.08,71,-0.06518812401309382,-1.6297031003273455e-05,0.0014775890302726406
ReLU rt4 e2.0,relu,4,0.08,83,-0.03113341381022461,-7.783353452556152e-06,0.0016070705086252788
ReLU rt4 e2.0,relu,4,0.08,97,-0.01839792860181111,-4.599482150452777e-06,0.0014879480892108343
ReLU rt4 e2.0,relu,4,0.08,101,-0.042203292455273544,-1.0550823113818386e-05,0.0016849098855398136
ReLU rt4 e2.0,relu,4,0.08,103,-0.02391902540259827,-5.979756350649568e-06,0.0014335916910097565
ReLU rt4 e2.0,relu,4,0.08,107,-0.025499197805120444,-6.3747994512801106e-06,0.0015706955959581645
ReLU rt4 e2.0,relu,4,0.08,109,-0.006796871238764601,-1.6992178096911504e-06,0.0014273110618352896
ReLU rt4 e2.0,relu,4,0.08,113,-0.025716535928978934,-6.429133982244734e-06,0.001528549247598535
ReLU rt4 e2.0,relu,4,0.08,127,-0.023967677779256236,-5.991919444814059e-06,0.001453972322078967
ReLU rt4 e2.0,relu,4,0.08,131,-0.02609350108095032,-6.52337527023758e-06,0.0014767115728102748
ReLU rt4 e2.0,relu,4,0.08,137,-0.0034345242071417426,-8.586310517854357e-07,0.0015033890526464533
ReLU rt4 e2.0,relu,4,0.08,139,-0.03283246911938453,-8.208117279846133e-06,0.0015494209264184852
ReLU rt4 e2.0,relu,4,0.08,149,-0.02437632973645254,-6.094082434113135e-06,0.001549478262968291
ReLU rt4 e2.0,relu,4,0.08,151,-0.025826293924710697,-6.4565734811776745e-06,0.0015395430371852735
ReLU rt4 e2.0,relu,4,0.08,157,-0.038512161901141595,-9.628040475285399e-06,0.0016412190006261367
ReLU rt4 e2.0,relu,4,0.08,163,-0.02356883347677763,-5.892208369194407e-06,0.0015217862607495214
ReLU rt4 e2.0,relu,4,0.08,167,-0.01575198981846604,-3.93799745461651e-06,0.0015146070845394593
ReLU rt4 e2.0,relu,4,0.08,173,-0.044005221268894834,-1.1001305317223708e-05,0.0015495216138901805
ReLU rt4 e2.0,relu,4,0.08,179,-0.03568588829484487,-8.921472073711217e-06,0.0014848711930154678
ReLU rt4 e2.0,relu,4,0.08,181,-0.013241448264176947,-3.3103620660442366e-06,0.0014706366934099662
ReLU rt4 e2.0,relu,4,0.08,191,-0.02117840825342865,-5.294602063357162e-06,0.0013728896025729962
ReLU rt4 e2.0,relu,4,0.08,193,-0.03693952312133697,-9.234880780334243e-06,0.00162598315304057
ReLU rt4 e2.0,relu,4,0.08,197,-0.03439102458425469,-8.597756146063673e-06,0.0015773462632546463
ReLU rt4 e2.0,relu,4,0.08,199,-0.023772309610102127,-5.943077402525532e-06,0.0016212025119009784
ReLU rt4 e2.0,relu,4,0.08,211,-0.004921039029195162,-1.2302597572987906e-06,0.0014005755091973668
