gid,teacher,p,r_t,r_s,n,eta,M,seed,ckpt,rho2,L_late,L_V_opt,ratio,cm0,cm_mid,cm_end,mean_end,t_plateau,t_sat,gap_sat,d_mean_plat,d_min_plat,t50,s_band,tau_V_sq,diverged
R1,relu,100,4,50,15000,2.0,50,5,relu_p100_rt4_rs50_n15000_eta2.0_seed5.npz,0.9999996536880682,6.17787929996742,0.003078474238653122,2006.7990897563377,0.0002573700564952621,0.7249591288145538,0.6965666199474206,0.9097160713547585,2104.0,700.0,2038.779647763809,-0.01053666597291758,-0.055789142223918065,340.0,0.0025,0.18021086056108213,True
R1,relu,100,4,50,15000,2.0,50,11,relu_p100_rt4_rs50_n15000_eta2.0_seed11.npz,0.9999994070212643,6.162312622778777,0.0017656581064271276,3490.093920418397,0.0012102745921061804,0.71440913337191,0.67366880878937,0.9045340604055471,2336.0,660.0,3067.431091089991,-0.01482195524220975,-0.06591098050154942,320.0,0.0022500000000000003,0.14985305599146298,True
R1,relu,100,4,50,15000,2.0,50,23,relu_p100_rt4_rs50_n15000_eta2.0_seed23.npz,0.9999996053604595,6.068809362961615,0.001993106323536334,3044.899959071843,0.009624211773124652,0.6146789910175668,0.5907738712424421,0.8830496762672866,2232.0,600.0,2680.753421384815,-0.011906977594242862,-0.05605419027115821,300.0,0.0022500000000000003,0.16851551641343807,True
R1,relu,100,4,50,15000,2.0,50,37,relu_p100_rt4_rs50_n15000_eta2.0_seed37.npz,0.9999995434645355,6.114917967433138,0.002166806900254273,2822.0871766263795,0.0013597980690900561,0.6978166664811364,0.6580268370113312,0.8988038925754003,2128.0,560.0,2564.3504514737206,-0.017205182838567534,-0.07882469033838624,260.0,0.0028125,0.16052769783113205,True
R1,relu,100,4,50,15000,2.0,50,41,relu_p100_rt4_rs50_n15000_eta2.0_seed41.npz,0.9999993254994148,6.141790914412747,0.0017080503297923718,3595.7903624299724,9.812468287746886e-06,0.6952596233654066,0.67017419271786,0.9030362599518023,2278.0,600.0,3707.5728738156677,-0.012985639485159406,-0.060864552989961074,320.0,0.0025,0.14501341227869508,True
R1,relu,100,4,50,15000,2.0,50,53,relu_p100_rt4_rs50_n15000_eta2.0_seed53.npz,0.9999996601454574,6.2010490273026075,0.002485262652636961,2495.128239553695,0.009738407633263542,0.6524850678298928,0.6419734227661428,0.8953541159446249,2098.0,740.0,2300.927382336153,-0.010301863280967716,-0.0452152824840224,300.0,0.0025,0.12511970122041546,True
R1,relu,100,4,50,15000,2.0,50,67,relu_p100_rt4_rs50_n15000_eta2.0_seed67.npz,0.9999996773126775,6.117444426909766,0.0025039578346270413,2443.1100006206557,0.0003162598257703261,0.6872383246306565,0.6800152265908389,0.9064009801062944,2024.0,960.0,2435.667783770939,-0.0025907446500712528,-0.029959331747287266,340.0,0.0032142857142857142,0.14809988123888046,True
R1,relu,100,4,50,15000,2.0,50,71,relu_p100_rt4_rs50_n15000_eta2.0_seed71.npz,0.9999994880344723,5.890340349978184,0.00042123309195032867,13983.565067752956,4.708259404700831e-05,0.6461554471687581,0.5809673231556642,0.8825181789654901,2160.0,560.0,4721.051849484883,-0.023942517216722914,-0.11279209522578626,400.0,0.0028125,0.11014112206154177,True
R1,relu,100,4,50,15000,2.0,50,83,relu_p100_rt4_rs50_n15000_eta2.0_seed83.npz,0.9999992997816415,6.158239327207587,0.0035641587791863,1727.82406978331,0.0027258034951578025,0.7060542658021407,0.6749208519919161,0.9076232846779997,2056.0,580.0,1981.6871035058996,-0.014670994654904956,-0.0809804384214754,340.0,0.0018750000000000001,0.16197060934587687,True
R1,relu,100,4,50,15000,2.0,50,97,relu_p100_rt4_rs50_n15000_eta2.0_seed97.npz,0.9999995678813364,6.234876550078624,0.002152512870391839,2896.557152266244,0.005936672001914715,0.6993245294799902,0.6809266008781791,0.9044882376177849,2474.0,820.0,2200.455806144448,-0.006063224690948443,-0.03388048503393459,260.0,0.0028125,0.14315574644151485,True
