group,window,start,end,n_seeds,median_loss_change,loss_change_ci_low,loss_change_ci_high,median_mean_even_start,mean_even_start_ci_low,mean_even_start_ci_high,median_mean_even_end,mean_even_end_ci_low,mean_even_end_ci_high,median_mean_even_gain,mean_even_gain_ci_low,mean_even_gain_ci_high,median_mean_odd_start,mean_odd_start_ci_low,mean_odd_start_ci_high,median_mean_odd_end,mean_odd_end_ci_low,mean_odd_end_ci_high,median_mean_odd_gain,mean_odd_gain_ci_low,mean_odd_gain_ci_high,median_mean_phaseavg_start,mean_phaseavg_start_ci_low,mean_phaseavg_start_ci_high,median_mean_phaseavg_end,mean_phaseavg_end_ci_low,mean_phaseavg_end_ci_high,median_mean_phaseavg_gain,mean_phaseavg_gain_ci_low,mean_phaseavg_gain_ci_high,median_min_even_start,min_even_start_ci_low,min_even_start_ci_high,median_min_even_end,min_even_end_ci_low,min_even_end_ci_high,median_min_even_gain,min_even_gain_ci_low,min_even_gain_ci_high,median_min_odd_start,min_odd_start_ci_low,min_odd_start_ci_high,median_min_odd_end,min_odd_end_ci_low,min_odd_end_ci_high,median_min_odd_gain,min_odd_gain_ci_low,min_odd_gain_ci_high,median_min_phaseavg_start,min_phaseavg_start_ci_low,min_phaseavg_start_ci_high,median_min_phaseavg_end,min_phaseavg_end_ci_low,min_phaseavg_end_ci_high,median_min_phaseavg_gain,min_phaseavg_gain_ci_low,min_phaseavg_gain_ci_high,median_rho2,rho2_ci_low,rho2_ci_high,median_r2,r2_ci_low,r2_ci_high,positive_mean_even_seeds,positive_mean_odd_seeds,positive_min_even_seeds,positive_min_odd_seeds,loss_within_5pct_seeds
development,60_240,60,240,5,-0.04561713607965552,-0.05417093006535635,-0.03661777688725322,0.6212067604064941,0.5842580199241638,0.7100732326507568,0.8278663158416748,0.7001655697822571,0.8829542994499207,0.18158221244812012,0.11590754985809326,0.20770448446273804,0.5790098309516907,0.5236001014709473,0.634174644947052,0.7783687710762024,0.6346977353096008,0.8427320718765259,0.19632160663604736,0.11109763383865356,0.2171531319618225,0.5995858311653137,0.5539290606975555,0.6721239387989044,0.8031175434589386,0.667431652545929,0.8628431856632233,0.18683412671089172,0.11350259184837341,0.20353171229362488,0.17066502571105957,0.019454631954431534,0.428102046251297,0.5758379101753235,0.20681124925613403,0.7854533791542053,0.3945843577384949,0.1873566173017025,0.4734748378396034,0.15369847416877747,0.006294046528637409,0.2969360053539276,0.4912335276603699,0.09561903029680252,0.71498703956604,0.39766857773065567,0.08932498376816511,0.5238134562969208,0.16218174993991852,0.012874339241534472,0.3625190258026123,0.5335357189178467,0.15121513977646828,0.7502202093601227,0.3877011835575104,0.1383408005349338,0.4890170991420746,0.9999809081568735,0.9999695764840372,0.9999838307535098,0.1835502079132229,0.17020034250212673,0.18486452993796884,5,5,5,5,4
development,240_400,240,400,5,-0.051027511627260644,-0.054630639594995464,-0.04423908518013911,0.8278663158416748,0.7001655697822571,0.8829542994499207,0.8913723230361938,0.8380714654922485,0.9114120006561279,0.06350600719451904,0.028457701206207275,0.13790589570999146,0.7783687710762024,0.6346977353096008,0.8427320718765259,0.8514469265937805,0.7821369767189026,0.8825761675834656,0.07307815551757812,0.0398440957069397,0.14743924140930176,0.8031175434589386,0.667431652545929,0.8628431856632233,0.8714096248149872,0.8101042211055756,0.8969940841197968,0.06829208135604858,0.034150898456573486,0.1426725685596466,0.5758379101753235,0.20681124925613403,0.7854533791542053,0.8083035349845886,0.6940127611160278,0.8763155937194824,0.21080076694488525,0.08734714984893799,0.4872015118598938,0.4912335276603699,0.09561903029680252,0.71498703956604,0.7427765130996704,0.5947561264038086,0.7944186925888062,0.22367721796035767,0.06188243627548218,0.4991370961070061,0.5335357189178467,0.15121513977646828,0.7502202093601227,0.7755400240421295,0.6443844437599182,0.8353671431541443,0.21723899245262146,0.07461479306221008,0.49316930398344994,0.9999849349860187,0.9999811695331883,0.9999866181322609,0.19249688085244074,0.18181801450795743,0.19990262391679783,5,5,5,5,2
development,400_700,400,700,5,-0.08804629298365312,-0.09600998208821733,-0.06973507718200071,0.8913723230361938,0.8380714654922485,0.9114120006561279,0.9192215204238892,0.8792446255683899,0.9241083860397339,0.027849197387695312,0.012696385383605957,0.04117316007614136,0.8514469265937805,0.7821369767189026,0.8825761675834656,0.8893143534660339,0.8400784134864807,0.8942039012908936,0.03786742687225342,0.010949790477752686,0.057941436767578125,0.8714096248149872,0.8101042211055756,0.8969940841197968,0.9042679369449615,0.8596615195274353,0.9091094732284546,0.032858312129974365,0.011823087930679321,0.04955729842185974,0.8083035349845886,0.6940127611160278,0.8763155937194824,0.859874427318573,0.8060649037361145,0.8744177222251892,0.056622982025146484,-0.0018978714942932129,0.11205214262008667,0.7427765130996704,0.5947561264038086,0.7944186925888062,0.7626441717147827,0.6884968280792236,0.7817243337631226,0.019867658615112305,-0.023589491844177246,0.09374070167541504,0.7755400240421295,0.6443844437599182,0.8353671431541443,0.8126965761184692,0.7472808659076691,0.8280710279941559,0.038245320320129395,-0.009395480155944824,0.10289642214775085,0.9999889217024609,0.9999869964795416,0.9999899873317281,0.20595942629938443,0.19870209069708972,0.21867296258191382,5,5,4,3,0
development,700_1000,700,1000,5,-0.0672447827095788,-0.07747812356500727,-0.05832588226913047,0.9192215204238892,0.8792446255683899,0.9241083860397339,0.9231299757957458,0.897544264793396,0.931943416595459,0.005907893180847168,-0.0009784102439880371,0.018299639225006104,0.8893143534660339,0.8400784134864807,0.8942039012908936,0.8939884901046753,0.8615588545799255,0.9037160873413086,0.004790067672729492,0.0003949403762817383,0.021480441093444824,0.9042679369449615,0.8596615195274353,0.9091094732284546,0.9085592329502106,0.8795515596866608,0.9178297519683838,0.00534898042678833,-0.00025793910026550293,0.019890040159225464,0.859874427318573,0.8060649037361145,0.8744177222251892,0.8408825397491455,0.8056070804595947,0.8642603158950806,-0.010157406330108643,-0.04586994647979736,-0.0004578232765197754,0.7626441717147827,0.6884968280792236,0.7817243337631226,0.7235140800476074,0.6747503280639648,0.7683150768280029,-0.016811013221740723,-0.06421375274658203,-0.013409256935119629,0.8126965761184692,0.7472808659076691,0.8280710279941559,0.7821983098983765,0.7401787042617798,0.8162876963615417,-0.014234006404876709,-0.0550418496131897,-0.007102161645889282,0.9999885184248891,0.9999873798991559,0.9999894337930683,0.21183098337480957,0.21045456558285947,0.2222582858731753,4,5,0,0,0
development,1000_1200,1000,1200,5,-0.04014557435627737,-0.04410139453197727,-0.038414171084915016,0.9231299757957458,0.897544264793396,0.931943416595459,0.9218735098838806,0.902213454246521,0.9338158369064331,0.0014664530754089355,-0.003128528594970703,0.004669189453125,0.8939884901046753,0.8615588545799255,0.9037160873413086,0.8920636773109436,0.8690919876098633,0.9053061008453369,-0.00131988525390625,-0.0020407438278198242,0.007533133029937744,0.9085592329502106,0.8795515596866608,0.9178297519683838,0.9070322811603546,0.8856527209281921,0.919560968875885,9.924173355102539e-06,-0.0025846362113952637,0.006101161241531372,0.8408825397491455,0.8056070804595947,0.8642603158950806,0.833012580871582,0.8012644052505493,0.858772337436676,-0.005487978458404541,-0.015512824058532715,-0.0023710131645202637,0.7235140800476074,0.6747503280639648,0.7683150768280029,0.7081137895584106,0.6729368567466736,0.7513996958732605,-0.01691538095474243,-0.017670273780822754,-0.0018134713172912598,0.7821983098983765,0.7401787042617798,0.8162876963615417,0.7705631852149963,0.7371006309986115,0.8050860166549683,-0.011201679706573486,-0.016360700130462646,-0.003078073263168335,0.9999883502253577,0.9999821682307956,0.9999916177361557,0.21605827032472855,0.2097735427248804,0.2235750405958372,3,2,0,0,5
development,1200_1490,1200,1490,5,-0.05002619214984814,-0.05848011186470701,-0.03409658288208143,0.9218735098838806,0.902213454246521,0.9338158369064331,0.9225197434425354,0.9055503010749817,0.9300919771194458,0.0005188584327697754,-0.005728960037231445,0.0033368468284606934,0.8920636773109436,0.8690919876098633,0.9053061008453369,0.8934808969497681,0.873013436794281,0.9014847278594971,0.0009006261825561523,-0.004250228404998779,0.003921449184417725,0.9070322811603546,0.8856527209281921,0.919560968875885,0.9080003201961517,0.8892818689346313,0.9157883524894714,0.0009680390357971191,-0.004989594221115112,0.003629148006439209,0.833012580871582,0.8012644052505493,0.858772337436676,0.827716588973999,0.7939370274543762,0.8408828973770142,-0.007327377796173096,-0.017889440059661865,-0.005295991897583008,0.7081137895584106,0.6729368567466736,0.7513996958732605,0.7019729018211365,0.6693097949028015,0.7257298231124878,-0.006442248821258545,-0.025669872760772705,-0.0036270618438720703,0.7705631852149963,0.7371006309986115,0.8050860166549683,0.7648447453975677,0.7316234111785889,0.783306360244751,-0.007706701755523682,-0.021779656410217285,-0.005477219820022583,0.9999847928413359,0.9999842985923921,0.9999863343781964,0.22225340776954147,0.21966428119212886,0.22669876252351515,3,3,0,0,2
development,60_400,60,400,5,-0.08991666613854707,-0.10584217710342562,-0.08092756033876913,0.6212067604064941,0.5842580199241638,0.7100732326507568,0.8913723230361938,0.8380714654922485,0.9114120006561279,0.2538134455680847,0.1996772289276123,0.2712104916572571,0.5790098309516907,0.5236001014709473,0.634174644947052,0.8514469265937805,0.7821369767189026,0.8825761675834656,0.2585368752479553,0.2404521107673645,0.29255229234695435,0.5995858311653137,0.5539290606975555,0.6721239387989044,0.8714096248149872,0.8101042211055756,0.8969940841197968,0.25617516040802,0.2200646698474884,0.27970337867736816,0.17066502571105957,0.019454631954431534,0.428102046251297,0.8083035349845886,0.6940127611160278,0.8763155937194824,0.637638509273529,0.4482135474681854,0.6842756047844887,0.15369847416877747,0.006294046528637409,0.2969360053539276,0.7427765130996704,0.5947561264038086,0.7944186925888062,0.5884620798751712,0.49748268723487854,0.6213457956910133,0.16218174993991852,0.012874339241534472,0.3625190258026123,0.7755400240421295,0.6443844437599182,0.8353671431541443,0.613358274102211,0.472848117351532,0.652810700237751,0.9999827812100291,0.9999751043867074,0.9999851232406753,0.19249688085244074,0.18181801450795743,0.19990262391679783,5,5,5,5,0
development,60_700,60,700,5,-0.16483209709405378,-0.19169025366376513,-0.15747479833754957,0.6212067604064941,0.5842580199241638,0.7100732326507568,0.9192215204238892,0.8792446255683899,0.9241083860397339,0.294777512550354,0.2139418125152588,0.2990596890449524,0.5790098309516907,0.5236001014709473,0.634174644947052,0.8893143534660339,0.8400784134864807,0.8942039012908936,0.31030452251434326,0.26002925634384155,0.33785873651504517,0.5995858311653137,0.5539290606975555,0.6721239387989044,0.9042679369449615,0.8596615195274353,0.9091094732284546,0.3046821057796478,0.23698553442955017,0.3163181245326996,0.17066502571105957,0.019454631954431534,0.428102046251297,0.859874427318573,0.8060649037361145,0.8744177222251892,0.6942614912986755,0.4463156759738922,0.786610271781683,0.15369847416877747,0.006294046528637409,0.2969360053539276,0.7626441717147827,0.6884968280792236,0.7817243337631226,0.6089456975460052,0.48478832840919495,0.6822027815505862,0.16218174993991852,0.012874339241534472,0.3625190258026123,0.8126965761184692,0.7472808659076691,0.8280710279941559,0.6516035944223404,0.4655520021915436,0.7344065266661346,0.9999854705280231,0.9999805133003414,0.9999870981128696,0.20595942629938443,0.19870209069708972,0.21867296258191382,5,5,5,5,0
development,60_1000,60,1000,5,-0.22640472969676187,-0.23883563276556308,-0.21371680356019207,0.6212067604064941,0.5842580199241638,0.7100732326507568,0.9231299757957458,0.897544264793396,0.931943416595459,0.2953205704689026,0.2217578887939453,0.3132862448692322,0.5790098309516907,0.5236001014709473,0.634174644947052,0.8939884901046753,0.8615588545799255,0.9037160873413086,0.31509459018707275,0.2684095501899719,0.3382536768913269,0.5995858311653137,0.5539290606975555,0.6721239387989044,0.9085592329502106,0.8795515596866608,0.9178297519683838,0.31003108620643616,0.24508371949195862,0.3256224989891052,0.17066502571105957,0.019454631954431534,0.428102046251297,0.8408825397491455,0.8056070804595947,0.8642603158950806,0.6483915448188782,0.43615826964378357,0.7861524485051632,0.15369847416877747,0.006294046528637409,0.2969360053539276,0.7235140800476074,0.6747503280639648,0.7683150768280029,0.545295387506485,0.4713790714740753,0.6684562815353274,0.16218174993991852,0.012874339241534472,0.3625190258026123,0.7821983098983765,0.7401787042617798,0.8162876963615417,0.5965617448091507,0.45376867055892944,0.7273043650202453,0.9999861174841638,0.99998294957521,0.9999871723302753,0.21183098337480957,0.21045456558285947,0.2222582858731753,5,5,5,5,0
development,60_1490,60,1490,5,-0.29303126795182727,-0.307104723728042,-0.2830382320549486,0.6212067604064941,0.5842580199241638,0.7100732326507568,0.9225197434425354,0.9055503010749817,0.9300919771194458,0.2910580635070801,0.22001874446868896,0.32129228115081787,0.5790098309516907,0.5236001014709473,0.634174644947052,0.8934808969497681,0.873013436794281,0.9014847278594971,0.3144710659980774,0.26731008291244507,0.34941333532333374,0.5995858311653137,0.5539290606975555,0.6721239387989044,0.9080003201961517,0.8892818689346313,0.9157883524894714,0.308414489030838,0.24366441369056702,0.3353528082370758,0.17066502571105957,0.019454631954431534,0.428102046251297,0.827716588973999,0.7939370274543762,0.8408828973770142,0.6370493769645691,0.41278085112571716,0.7744823954999447,0.15369847416877747,0.006294046528637409,0.2969360053539276,0.7019729018211365,0.6693097949028015,0.7257298231124878,0.523754209280014,0.4287938177585602,0.6630157483741641,0.16218174993991852,0.012874339241534472,0.3625190258026123,0.7648447453975677,0.7316234111785889,0.783306360244751,0.5788343995809555,0.42078733444213867,0.7187490719370544,0.9999856234011097,0.9999841637998798,0.9999870223122809,0.22225340776954147,0.21966428119212886,0.22669876252351515,5,5,5,5,0
