step_pair,median_cycle_mean_loss_normalized,median_mean_alignment_even,median_mean_alignment_odd,median_mean_alignment_phase_average,median_min_alignment_even,median_min_alignment_odd,median_min_alignment_phase_average,median_r2
0/1,2.322155055958696,0.03762634098529816,0.16888895630836487,0.10156534193083644,0.0007919066702015698,0.004109685542061925,0.0028054826834704727,
60/61,1.0,0.6321600079536438,0.5693356096744537,0.5963247120380402,0.1525813192129135,0.0729733370244503,0.10798914730548859,0.14048857986927032
120/121,0.9986423434987814,0.7246605753898621,0.6520966291427612,0.6916438937187195,0.37307922542095184,0.2571176588535309,0.32369691133499146,0.15150371938943863
180/181,0.9794812449511293,0.8020444214344025,0.7254956662654877,0.7614010125398636,0.5700617134571075,0.4530433267354965,0.5094288513064384,0.16133491694927216
240/241,0.9578745419090522,0.847490131855011,0.7846371531486511,0.8139771819114685,0.7029935717582703,0.5641960501670837,0.6284313946962357,0.1708282083272934
400/401,0.9063875675918729,0.8898812532424927,0.8493897914886475,0.8691275864839554,0.8164893686771393,0.7142349779605865,0.7650564908981323,0.18252753466367722
700/701,0.830895086407751,0.9156873524188995,0.8855670988559723,0.9008210003376007,0.8593514263629913,0.7513077855110168,0.8038665503263474,0.19701289385557175
1000/1001,0.7693289985237948,0.9201409816741943,0.8901166319847107,0.9046182930469513,0.8475290536880493,0.7359964549541473,0.7930024713277817,0.205316960811615
1200/1201,0.7363083533035325,0.922179251909256,0.8916207551956177,0.9069000035524368,0.8423662185668945,0.7256394326686859,0.7849284708499908,0.2093425765633583
1490/1491,0.7037012986902549,0.9204999804496765,0.8905721306800842,0.9052865952253342,0.8291442394256592,0.7104570865631104,0.7704887837171555,0.21293355524539948
