window,start,end,n_seeds,median_loss_change,loss_change_ci_low,loss_change_ci_high,median_mean_even_start,mean_even_start_ci_low,mean_even_start_ci_high,median_mean_even_end,mean_even_end_ci_low,mean_even_end_ci_high,median_mean_even_gain,mean_even_gain_ci_low,mean_even_gain_ci_high,median_mean_odd_start,mean_odd_start_ci_low,mean_odd_start_ci_high,median_mean_odd_end,mean_odd_end_ci_low,mean_odd_end_ci_high,median_mean_odd_gain,mean_odd_gain_ci_low,mean_odd_gain_ci_high,median_mean_phaseavg_start,mean_phaseavg_start_ci_low,mean_phaseavg_start_ci_high,median_mean_phaseavg_end,mean_phaseavg_end_ci_low,mean_phaseavg_end_ci_high,median_mean_phaseavg_gain,mean_phaseavg_gain_ci_low,mean_phaseavg_gain_ci_high,median_min_even_start,min_even_start_ci_low,min_even_start_ci_high,median_min_even_end,min_even_end_ci_low,min_even_end_ci_high,median_min_even_gain,min_even_gain_ci_low,min_even_gain_ci_high,median_min_odd_start,min_odd_start_ci_low,min_odd_start_ci_high,median_min_odd_end,min_odd_end_ci_low,min_odd_end_ci_high,median_min_odd_gain,min_odd_gain_ci_low,min_odd_gain_ci_high,median_min_phaseavg_start,min_phaseavg_start_ci_low,min_phaseavg_start_ci_high,median_min_phaseavg_end,min_phaseavg_end_ci_low,min_phaseavg_end_ci_high,median_min_phaseavg_gain,min_phaseavg_gain_ci_low,min_phaseavg_gain_ci_high,median_rho2,rho2_ci_low,rho2_ci_high,median_r2,r2_ci_low,r2_ci_high,positive_mean_even_seeds,positive_mean_odd_seeds,positive_min_even_seeds,positive_min_odd_seeds,loss_within_5pct_seeds
60_240,60,240,30,-0.042125458090947754,-0.0452303951470622,-0.03746870095957809,0.6321600079536438,0.6039174497127533,0.6534592807292938,0.847490131855011,0.8371737599372864,0.8546040058135986,0.21060040593147278,0.1954975128173828,0.24113711714744568,0.5693356096744537,0.5378246605396271,0.5860838890075684,0.7846371531486511,0.7538812458515167,0.7898523807525635,0.21662390232086182,0.1932438611984253,0.26072558760643005,0.5963247120380402,0.5658465772867203,0.6257766485214233,0.8139771819114685,0.7906253486871719,0.8241416215896606,0.21104653179645538,0.1873864233493805,0.2546781152486801,0.1525813192129135,0.10066858679056168,0.21084947884082794,0.7029935717582703,0.6445192396640778,0.7454202473163605,0.4946191720664501,0.4410574436187744,0.5798445474356413,0.0729733370244503,0.05966338701546192,0.16895071417093277,0.5641960501670837,0.4633296877145767,0.6271455883979797,0.416370514780283,0.3318132311105728,0.467389908619225,0.10798914730548859,0.07158203423023224,0.18423951789736748,0.6284313946962357,0.548706904053688,0.6938200294971466,0.4511010372079909,0.3908878080546856,0.4952895510941744,0.999977309034582,0.999973569691514,0.9999804139680732,0.1779392957687378,0.17528561502695084,0.17938340455293655,30,30,30,30,25
240_400,240,400,30,-0.05483885935287178,-0.05611073261210535,-0.05190791022882808,0.847490131855011,0.837331235408783,0.8546040058135986,0.8898812532424927,0.8874745666980743,0.8945198357105255,0.043764591217041016,0.039921313524246216,0.05132460594177246,0.7846371531486511,0.7538812458515167,0.7898523807525635,0.8493897914886475,0.8359693884849548,0.8515306413173676,0.06500086188316345,0.05879110097885132,0.07506820559501648,0.8139771819114685,0.7906253486871719,0.8241416215896606,0.8691275864839554,0.8632145524024963,0.8721915036439896,0.05341117084026337,0.04841512441635132,0.06687422096729279,0.7029935717582703,0.6445192396640778,0.7454202473163605,0.8164893686771393,0.783516526222229,0.8357330858707428,0.11048135161399841,0.0724688470363617,0.1375502645969391,0.5641960501670837,0.4633296877145767,0.6271455883979797,0.7142349779605865,0.6932321488857269,0.7464720010757446,0.1456242799758911,0.08628320693969727,0.2031627744436264,0.6284313946962357,0.548706904053688,0.6938200294971466,0.7650564908981323,0.7423180788755417,0.7861758321523666,0.13178612291812897,0.08692464232444763,0.1834631860256195,0.9999851278253955,0.9999828093492873,0.999986663313094,0.19375338405370712,0.19159847497940063,0.19441591948270798,30,30,30,30,7
400_700,400,700,30,-0.08321454854587054,-0.08512361230026227,-0.0805470623219169,0.8898812532424927,0.8874745666980743,0.8945198357105255,0.9156873524188995,0.9102270603179932,0.9183985590934753,0.023160070180892944,0.019271135330200195,0.030835717916488647,0.8493897914886475,0.8359693884849548,0.8515306413173676,0.8855670988559723,0.8756933212280273,0.8866671323776245,0.034322261810302734,0.026825368404388428,0.045499205589294434,0.8691275864839554,0.8632145524024963,0.8721915036439896,0.9008210003376007,0.892820194363594,0.90251624584198,0.029365941882133484,0.023248568177223206,0.03883548080921173,0.8164893686771393,0.783516526222229,0.8357330858707428,0.8593514263629913,0.8507480919361115,0.8663973808288574,0.0390966534614563,0.022330254316329956,0.0507793128490448,0.7142349779605865,0.6932321488857269,0.7464720010757446,0.7513077855110168,0.7373088300228119,0.7672359943389893,0.017187684774398804,0.0037821829319000244,0.040725886821746826,0.7650564908981323,0.7423180788755417,0.7861758321523666,0.8038665503263474,0.7933622896671295,0.8174909204244614,0.031970471143722534,0.01236298680305481,0.05285896360874176,0.9999885349328668,0.9999868936057204,0.9999894420857232,0.2076650932431221,0.2057436779141426,0.2103188931941986,30,30,27,23,0
700_1000,700,1000,30,-0.06910214925168945,-0.07390053526959871,-0.0673922833033099,0.9156873524188995,0.9102270603179932,0.9183985590934753,0.9201409816741943,0.9173534214496613,0.9244697391986847,0.005621761083602905,0.0036742985248565674,0.006826847791671753,0.8855670988559723,0.8756933212280273,0.8866671323776245,0.8901166319847107,0.8852786719799042,0.8944011032581329,0.007228821516036987,0.005511045455932617,0.0093153715133667,0.9008210003376007,0.892820194363594,0.90251624584198,0.9046182930469513,0.9015397429466248,0.9093344956636429,0.006266415119171143,0.0048208534717559814,0.008168861269950867,0.8593514263629913,0.8507480919361115,0.8663973808288574,0.8475290536880493,0.8366910219192505,0.8589712977409363,-0.009446889162063599,-0.015247315168380737,-0.007060378789901733,0.7513077855110168,0.7373088300228119,0.7672359943389893,0.7359964549541473,0.7175334692001343,0.7499974370002747,-0.017066627740859985,-0.023598700761795044,-0.01303565502166748,0.8038665503263474,0.7933622896671295,0.8174909204244614,0.7930024713277817,0.778178334236145,0.8056505024433136,-0.012984037399291992,-0.018783509731292725,-0.010816916823387146,0.9999882757276854,0.9999874151502519,0.9999886143203001,0.21685944497585297,0.21520964801311493,0.22167955338954926,29,29,6,3,0
1000_1200,1000,1200,30,-0.041761594654594184,-0.044017185724677846,-0.03953460336993936,0.9201409816741943,0.9173534214496613,0.9244697391986847,0.922179251909256,0.9177068173885345,0.9255717098712921,0.0012584924697875977,0.000269085168838501,0.0022239089012145996,0.8901166319847107,0.8852786719799042,0.8944011032581329,0.8916207551956177,0.8867467641830444,0.895131379365921,0.0015097260475158691,-8.723139762878418e-05,0.002158135175704956,0.9046182930469513,0.9015397429466248,0.9093344956636429,0.9069000035524368,0.9023803472518921,0.9100162982940674,0.0011865049600601196,5.036592483520508e-05,0.002305850386619568,0.8475290536880493,0.8366910219192505,0.8589712977409363,0.8423662185668945,0.8275592029094696,0.8524182140827179,-0.009145647287368774,-0.009981334209442139,-0.00636059045791626,0.7359964549541473,0.7175334692001343,0.7500156030058845,0.7256394326686859,0.7027386128902435,0.7398408353328705,-0.013697236776351929,-0.015285879373550415,-0.00965908169746399,0.7930024713277817,0.778178334236145,0.8056505024433136,0.7849284708499908,0.7661301046609879,0.795219030976295,-0.010442733764648438,-0.013126224279403687,-0.007146179676055908,0.9999865252429039,0.9999857819010147,0.9999872910279143,0.2202385812997818,0.21842098236083984,0.22323042899370193,21,18,3,2,28
1200_1490,1200,1490,30,-0.04891586246822095,-0.05116815776483599,-0.04273788261670302,0.922179251909256,0.9177068173885345,0.9255717098712921,0.9204999804496765,0.9182663857936859,0.9224119186401367,-0.0009752213954925537,-0.0016046464443206787,0.0004639625549316406,0.8916207551956177,0.8867467641830444,0.895131379365921,0.8905721306800842,0.8865753710269928,0.8931101858615875,-0.00013178586959838867,-0.0021038949489593506,0.0020342469215393066,0.9069000035524368,0.9023803472518921,0.9100162982940674,0.9052865952253342,0.9027999639511108,0.9077325016260147,-0.00035406649112701416,-0.001910179853439331,0.001060783863067627,0.8423662185668945,0.8275592029094696,0.8524182140827179,0.8291442394256592,0.8174361288547516,0.8369568288326263,-0.012329578399658203,-0.01574745774269104,-0.009415119886398315,0.7256394326686859,0.7027386128902435,0.7398408353328705,0.7104570865631104,0.6902124583721161,0.7191407680511475,-0.016324669122695923,-0.020656675100326538,-0.011003643274307251,0.7849284708499908,0.7661301046609879,0.7952132225036621,0.7704887837171555,0.7535508126020432,0.7785696536302567,-0.013835251331329346,-0.018762215971946716,-0.009563013911247253,0.9999866723430195,0.9999858726319502,0.9999875892526939,0.22455479949712753,0.22199524194002151,0.22779546678066254,11,15,2,2,18
60_400,60,400,30,-0.0936124324081272,-0.09713948303184056,-0.08860041543756766,0.6321600079536438,0.6039174497127533,0.6534592807292938,0.8898812532424927,0.8874745666980743,0.8945198357105255,0.2621068060398102,0.24340921640396118,0.2880767583847046,0.5693356096744537,0.5378246605396271,0.5860838890075684,0.8493897914886475,0.8359693884849548,0.8515306413173676,0.2892177402973175,0.2594693601131439,0.31542152166366577,0.5963247120380402,0.5658465772867203,0.6257766485214233,0.8691275864839554,0.8632145524024963,0.8721915036439896,0.27506841719150543,0.25171731412410736,0.3038325905799866,0.1525813192129135,0.09570098295807838,0.21084947884082794,0.8164893686771393,0.783516526222229,0.8357330858707428,0.662168201059103,0.5764366686344147,0.6997331120073795,0.0729733370244503,0.05966338701546192,0.16895071417093277,0.7142349779605865,0.6932321488857269,0.7464720010757446,0.5948390979319811,0.5266539379954338,0.6412762831896544,0.10798914730548859,0.07158203423023224,0.18423951789736748,0.7650564908981323,0.7423180788755417,0.7861758321523666,0.6050885929726064,0.5560877323150635,0.6683827992528677,0.9999819889829485,0.9999762722014672,0.9999831576184538,0.19375338405370712,0.19159847497940063,0.19441591948270798,30,30,30,30,0
60_700,60,700,30,-0.169104913592249,-0.17247804136718575,-0.16441131474372522,0.6321600079536438,0.6039174497127533,0.6534592807292938,0.9156873524188995,0.9102270603179932,0.9183985590934753,0.28225839138031006,0.26597991585731506,0.31147831678390503,0.5693356096744537,0.5378246605396271,0.5860838890075684,0.8855670988559723,0.8756933212280273,0.8866671323776245,0.32130688428878784,0.2954895496368408,0.3420039117336273,0.5963247120380402,0.5658465772867203,0.6257766485214233,0.9008210003376007,0.892820194363594,0.9030256569385529,0.29918405413627625,0.2799258828163147,0.3235562890768051,0.1525813192129135,0.10066858679056168,0.21084947884082794,0.8593514263629913,0.8507480919361115,0.8663973808288574,0.7017882093787193,0.6202819719910622,0.7651693988591433,0.0729733370244503,0.05966338701546192,0.16895071417093277,0.7513077855110168,0.7373088300228119,0.7672359943389893,0.6525434255599976,0.5637267082929611,0.6955931652337313,0.10798914730548859,0.07158203423023224,0.18423951789736748,0.8038665503263474,0.7933622896671295,0.8174909204244614,0.6972088585607708,0.5915453918278217,0.7234117386396974,0.9999840536942624,0.9999812851409464,0.9999859030584908,0.2076650932431221,0.2057436779141426,0.2103188931941986,30,30,30,30,0
60_1000,60,1000,30,-0.23067100147620517,-0.2328005672156626,-0.22583935726194457,0.6321600079536438,0.6039174497127533,0.6534592807292938,0.9201409816741943,0.9173534214496613,0.9244697391986847,0.2872282564640045,0.2704126238822937,0.3135247826576233,0.5693356096744537,0.5378246605396271,0.5860838890075684,0.8901166319847107,0.8852786719799042,0.8944011032581329,0.32424676418304443,0.30722910165786743,0.35219112038612366,0.5963247120380402,0.5658465772867203,0.6257766485214233,0.9046182930469513,0.9015397429466248,0.9093344956636429,0.30516551434993744,0.28537459671497345,0.3337426781654358,0.1525813192129135,0.10066858679056168,0.21084947884082794,0.8475290536880493,0.8366910219192505,0.8589712977409363,0.6829723343253136,0.6158557459712029,0.7528008632361889,0.0729733370244503,0.05966338701546192,0.16895071417093277,0.7359964549541473,0.7175334692001343,0.7499974370002747,0.6459934450685978,0.5408247709274292,0.6799980960786343,0.10798914730548859,0.07158203423023224,0.18423951789736748,0.7930024713277817,0.7781587243080139,0.8056505024433136,0.678955402225256,0.572277158498764,0.7167750874068588,0.9999853431771516,0.9999828807625906,0.9999861540360684,0.21685944497585297,0.21520964801311493,0.22167955338954926,30,30,30,30,0
60_1490,60,1490,30,-0.2962987013097451,-0.30050613787335934,-0.2924782312018367,0.6321600079536438,0.6039174497127533,0.6534592807292938,0.9204999804496765,0.9182663857936859,0.9223548173904419,0.28737905621528625,0.2700327932834625,0.31463077664375305,0.5693356096744537,0.5378246605396271,0.5860838890075684,0.8905721306800842,0.8865753710269928,0.8931101858615875,0.3192714750766754,0.3098399341106415,0.35176947712898254,0.5963247120380402,0.5658465772867203,0.6257766485214233,0.9052865952253342,0.9027999639511108,0.9077325016260147,0.3064325153827667,0.286135196685791,0.33448919653892517,0.1525813192129135,0.10066858679056168,0.21084947884082794,0.8291442394256592,0.8174361288547516,0.8369568288326263,0.6628517657518387,0.6091867163777351,0.7228373102843761,0.0729733370244503,0.05966338701546192,0.16895071417093277,0.7104570865631104,0.6902124583721161,0.7191407680511475,0.6186109147965908,0.51731888204813,0.6537403045222163,0.10798914730548859,0.07158203423023224,0.18423951789736748,0.7704887837171555,0.7535508126020432,0.7785696536302567,0.6586938272230327,0.555417388677597,0.690811209147796,0.9999858327384572,0.9999842679611193,0.9999862709958871,0.2253301739692688,0.22286412864923477,0.22807512432336807,30,30,30,30,0
